id,구분,공정유형,별칭,관련시설,근거법령,설명_한줄,설명_전체,슬롯,사업장수,수록공정수
PR-DRY,생산공정,건조공정,건조공정 / 슬러지 건조공정 / 탈수·건조공정,건조시설 / 가스건조기 / 디스크건조기,"폐기물관리법 시행령 [별표 3] 1.나.8), 3.가.9)",증기 또는 소각로 연소가스를 열원으로 공급받아 {대상물}을 함수율 {함수율}로 건조하는 공정이다.,"증기 또는 소각로 연소가스를 열원으로 공급받아 {대상물}을 함수율 {함수율}로 건조하는 공정이다.
건조된 슬러지는 저장조에 보관한 후 발전소 보조연료나 시멘트 소성로 대체원료로 공급하거나 소각공정으로 이송한다.
건조 과정에서 발생하는 {오염물질}는 {방지시설}을 거쳐 1차 처리한 후 소각시설로 유입하여 처리한다.",대상물 / 방지시설 / 오염물질 / 함수율,5,7
PR-DEWAT,생산공정,탈수공정,탈수공정 / 농축·탈수공정,탈수시설 / 원심탈수기 / 필터프레스,폐기물관리법 시행령 [별표 3] 1.나.8),{대상물}에 응집제를 주입한 후 탈수기를 거쳐 수분을 분리하는 공정이다.,"{대상물}에 응집제를 주입한 후 탈수기를 거쳐 수분을 분리하는 공정이다.
탈수여액은 {이송처}로 이송하여 처리하고, 탈수케이크는 건조·소각 공정으로 이송하거나 {처분방법}한다.",대상물 / 이송처 / 처분방법,1,1
PR-INCIN,생산공정,소각공정,소각공정 / 폐기물 소각공정 / 연소공정 / 열분해공정 / 폐기물 연소공정,일반 소각시설 / 고온 소각시설 / 열분해 소각시설 / 스토커소각로 / 유동층소각로,폐기물관리법 시행령 [별표 3] 1.가,{대상물} {처리용량}을 소각로에 투입하여 연소 처리하는 공정이다.,"{대상물} {처리용량}을 소각로에 투입하여 연소 처리하는 공정이다.
연소실 출구온도를 일정하게 유지하기 위해 보조버너를 설치하여 운전한다.
연소 시 발생하는 열은 폐열보일러에서 회수하여 증기를 생산한다.
연소 시 발생하는 {오염물질}는 {방지시설}을 거쳐 저감한 후 대기로 배출한다.
연소 후 발생하는 바닥재·비산재는 잔재물 처리공정으로 이송하여 {처분방법}한다.
폐열보일러 블로우다운수 등 발생 폐수는 {이송처}로 이송하여 처리한다.",대상물 / 방지시설 / 오염물질 / 이송처 / 처리용량 / 처분방법,37,56
PR-MELT,생산공정,용융공정,용융공정 / 재용융공정 / 고온용융공정,고온 용융시설 / 용융로,"폐기물관리법 시행령 [별표 3] 1.가.4), 1.나.4)",바닥재·보일러재·철편 등을 용융로에서 용융하여 {생산물}을 생산하는 공정이다.,"바닥재·보일러재·철편 등을 용융로에서 용융하여 {생산물}을 생산하는 공정이다.
용융가스는 {방지시설}을 거쳐 반응탑으로 투입한다.
용융 시 발생하는 용융비산재는 {처분방법}하고 세정폐수는 {이송처}로 이송한다.",방지시설 / 생산물 / 이송처 / 처분방법,1,1
PR-STEAM,생산공정,증기 생산·회수공정,증기생산공정 / 스팀생산공정 / 폐열회수공정 / 증기 회수공정 / 온수열원 생산공정,폐열보일러 / 이코노마이저 / 증기터빈,,소각공정에서 발생한 열을 폐열보일러에서 흡수하여 증기 {처리용량}을 생산하는 공정이다.,"소각공정에서 발생한 열을 폐열보일러에서 흡수하여 증기 {처리용량}을 생산하는 공정이다.
생산된 증기는 자체 공정에 이용하고 잉여분은 인근 사업체나 지역난방에 공급한다.
공급 후 회수된 응축수는 보일러 급수로 재이용한다.
블로우다운수는 {이송처}로 이송하여 처리한다.",이송처 / 처리용량,23,27
PR-POWER,생산공정,발전공정,발전공정 / 전기생산공정 / 증기발전공정,증기터빈발전기 / 복수기,,폐열보일러에서 생산된 증기를 증기터빈발전기에 공급하여 전기를 생산하는 공정이다.,"폐열보일러에서 생산된 증기를 증기터빈발전기에 공급하여 전기를 생산하는 공정이다.
생산된 전기는 자체 사용하고 잉여 전력은 외부에 판매한다.",,6,6
PR-EVAP,생산공정,증발농축공정,증발농축공정 / 감압증발공정 / 농축공정,증발·농축시설 / 감압증발농축기,"폐기물관리법 시행령 [별표 3] 1.나.5), 3.가.6)",{대상물}을 감압 증발·농축하여 수분과 농축액을 분리하는 공정이다.,"{대상물}을 감압 증발·농축하여 수분과 농축액을 분리하는 공정이다.
응축수는 {이송처}로 이송하여 처리하고 농축액·슬러지는 {처분방법}한다.",대상물 / 이송처 / 처분방법,1,1
PR-REFINE,생산공정,정제·증류공정,정제공정 / 증류공정 / 재생유 생산공정 / 유수분리공정,정제시설 / 증류탑 / 유수 분리시설,"폐기물관리법 시행령 [별표 3] 1.나.6)·7), 3.가.7)·8)",{대상물}을 증류·응집·여과 등의 과정을 거쳐 정제하여 {생산물}을 생산하는 공정이다.,"{대상물}을 증류·응집·여과 등의 과정을 거쳐 정제하여 {생산물}을 생산하는 공정이다.
정제 과정에서 발생하는 잔재물은 소각공정으로 이송하고, 폐수는 {이송처}로 이송한다.",대상물 / 생산물 / 이송처,1,1
PR-REACT,생산공정,중화·반응공정,중화공정 / 물리화학 처리공정 / 응집·침전공정 / 산화·환원공정,반응시설 / 중화조 / 응집·침전시설,"폐기물관리법 시행령 [별표 3] 1.다.2)·3), 3.나.2)·3)",{대상물}을 저장조에 구분 보관한 후 {약품}을 주입하여 중화·산화·환원 반응으로 처리하는 공정이다.,"{대상물}을 저장조에 구분 보관한 후 {약품}을 주입하여 중화·산화·환원 반응으로 처리하는 공정이다.
반응 후 응집·침전 과정을 거쳐 상등수는 {이송처}로 이송하고 슬러지는 {처분방법}한다.",대상물 / 약품 / 이송처 / 처분방법,4,4
PR-SOLID,생산공정,고형화·안정화공정,고형화공정 / 안정화공정 / 고화공정,고형화·고화·안정화 시설 / 혼합기,"폐기물관리법 시행령 [별표 3] 1.다.1), 3.나.1)",{대상물}에 고화제를 혼합하여 유해물질의 용출을 억제하는 형태로 안정화하는 공정이다.,"{대상물}에 고화제를 혼합하여 유해물질의 용출을 억제하는 형태로 안정화하는 공정이다.
고형화물은 매립시설에 매립하거나 {처분방법}한다.",대상물 / 처분방법,2,2
PR-DIGEST,생산공정,혐기성 소화공정,소화공정 / 혐기성 소화공정 / 바이오가스 생산공정,혐기성 분해시설 / 소화조 / 가스저장조,폐기물관리법 시행령 [별표 3] 1.라.2),{대상물}을 소화조에 투입하여 무산소 조건에서 분해시켜 바이오가스를 생산하는 공정이다.,"{대상물}을 소화조에 투입하여 무산소 조건에서 분해시켜 바이오가스를 생산하는 공정이다.
생산된 소화가스는 정제 후 발전이나 보일러 연료로 이용하고, 잉여가스는 연소 처리한다.
소화슬러지는 탈수 후 {처분방법}하고 탈리액은 {이송처}로 이송한다.",대상물 / 이송처 / 처분방법,2,3
PR-COMPOST,생산공정,퇴비화공정,퇴비화공정 / 부숙공정 / 자원화공정,호기성 분해시설 / 발효조 / 숙성장,폐기물관리법 시행령 [별표 3] 1.라.2),{대상물}을 파쇄·탈수한 후 발효조에서 호기성 분해시켜 {생산물}를 생산하는 공정이다.,"{대상물}을 파쇄·탈수한 후 발효조에서 호기성 분해시켜 {생산물}를 생산하는 공정이다.
발효 과정에서 발생하는 {오염물질}는 {방지시설}을 거쳐 저감한 후 배출한다.",대상물 / 방지시설 / 생산물 / 오염물질,0,0
PR-RECYCLE,생산공정,재활용제품 제조공정,재활용제품 제조공정 / 벽돌제조공정 / 아스콘 제조공정 / 순환골재 생산공정,성형시설 / 아스콘 제조시설 / 골재생산시설,,{대상물}을 파쇄·선별하여 생산한 원료로 {생산물}을 제조하는 공정이다.,"{대상물}을 파쇄·선별하여 생산한 원료로 {생산물}을 제조하는 공정이다.
제조 과정에서 발생하는 {오염물질}는 {방지시설}을 거쳐 저감하고, 폐수는 {이송처}로 이송한다.",대상물 / 방지시설 / 생산물 / 오염물질 / 이송처,8,10
PR-LAND,생산공정,매립공정,매립공정 / 관리형 매립공정,관리형 매립시설 / 차단형 매립시설 / 침출수 처리시설,폐기물관리법 시행령 [별표 3] 2.가,{대상물}을 매립시설에 반입하여 다짐·복토 과정을 거쳐 매립하는 공정이다.,"{대상물}을 매립시설에 반입하여 다짐·복토 과정을 거쳐 매립하는 공정이다.
매립장에서 발생하는 침출수는 침출수 처리시설에서 처리한 후 방류하거나 {이송처}로 이송한다.
매립가스는 포집하여 소각·발전·연료화 시설에서 처리한다.",대상물 / 이송처,4,5
EN-WW,환경오염물질처리공정,폐수처리공정,폐수처리공정 / 폐수 처리공정 / 배수처리공정 / 침출수 처리공정,수질오염방지시설 / 중화조 / 응집·침전조 / 생물학적 처리조,,각 공정 및 시설에서 배출되는 폐수를 차집하여 중화·응집·침전 및 생물학적 처리하는 공정이다.,"각 공정 및 시설에서 배출되는 폐수를 차집하여 중화·응집·침전 및 생물학적 처리하는 공정이다.
처리수의 일부는 재순환수로 재이용하고 나머지는 {이송처}로 이송하여 연계처리하거나 방류한다.
처리 과정에서 발생하는 슬러지·협잡물은 {처분방법}한다.",이송처 / 처분방법,28,32
EN-AIR,환경오염물질처리공정,대기오염 방지공정,대기오염 방지공정 / 배가스 처리공정 / 연소가스 저감공정,반건식반응탑(SDR) / 여과집진시설(B/F) / SNCR / SCR / 세정집진시설,,소각공정 등에서 발생하는 배출가스를 {방지시설}을 순차적으로 거쳐 처리하는 공정이다.,"소각공정 등에서 발생하는 배출가스를 {방지시설}을 순차적으로 거쳐 처리하는 공정이다.
{오염물질}를 배출허용기준 이하로 저감한 후 연돌을 통해 대기로 배출한다.
방지시설에서 포집된 비산재는 잔재물 처리공정으로 이송한다.",방지시설 / 오염물질,2,2
EN-ODOR,환경오염물질처리공정,악취 저감공정,악취 저감공정 / 악취처리공정 / 탈취공정 / 세정공정,약액세정탑 / 활성탄 흡착탑 / 축열식 연소장치(RTO) / 바이오필터,,각 공정에서 발생하는 악취를 포집하여 약액세정탑·활성탄 흡착탑 등을 거쳐 저감한 후 배출하는 공정이다.,"각 공정에서 발생하는 악취를 포집하여 약액세정탑·활성탄 흡착탑 등을 거쳐 저감한 후 배출하는 공정이다.
정상 가동 시에는 포집한 악취를 소각로 연소용 공기로 활용하여 고온산화 처리한다.",,1,1
EN-ASH,환경오염물질처리공정,잔재물 처리공정,잔재물 처리공정 / 재처리공정 / 폐기물 처리공정 / 소각재 처리공정,바닥재 저장조 / 비산재 사일로 / 자력선별기,,소각공정에서 발생하는 바닥재·비산재를 이송·저장한 후 처리하는 공정이다.,"소각공정에서 발생하는 바닥재·비산재를 이송·저장한 후 처리하는 공정이다.
바닥재는 자력선별기로 고철류를 분리하여 재활용하고 잔여분은 {처분방법}한다.
비산재는 톤백 또는 사일로에 보관한 후 지정폐기물로 {처분방법}한다.
저장시설에서 발생하는 {오염물질}는 {방지시설}을 거쳐 배출한다.",방지시설 / 오염물질 / 처분방법,21,26
EN-NPS,환경오염물질처리공정,비점오염 저감공정,비점오염 저감공정 / 비점오염원 저감공정 / 초기우수 처리공정,장치형 비점오염저감시설 / 여과형 시설 / 초기우수 저류조,,사업장 부지에서 강우 시 발생하는 초기우수를 장치형 비점오염저감시설에서 처리한 후 방류하는 공정이다.,"사업장 부지에서 강우 시 발생하는 초기우수를 장치형 비점오염저감시설에서 처리한 후 방류하는 공정이다.
저감시설에서 발생하는 슬러지·협잡물은 {처분방법}한다.",처분방법,15,17
ET-ETC,기타,기타공정,기타공정 / 이화학실험공정 / 세륜·세차공정 / 비상발전공정,실험실 / 세륜시설 / 비상발전기,,"용수·폐수·연료의 오염도 측정을 위한 이화학 실험, 차량 세륜·세차, 비상발전 등 부대 공정이다.","용수·폐수·연료의 오염도 측정을 위한 이화학 실험, 차량 세륜·세차, 비상발전 등 부대 공정이다.
실험 및 세차 과정에서 발생하는 폐수는 전량 {이송처}로 이송하여 처리한다.",이송처,6,9
